"No.","Time","Source","Destination","Protocol","Length","Info"
"757","77.833086","fe80::18af:509e:62d9:28ab","ff02::fb","MDNS","284","Standard query response 0x0000 PTR, cache flush iPad-di-Leonardo-2.local PTR, cache flush iPad-di-Leonardo-2.local NSEC, cache flush 12.1.168.192.in-addr.arpa NSEC, cache flush B.A.8.2.9.D.2.6.E.9.0.5.F.A.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa OPT"
"758","77.875288","192.168.1.12","224.0.0.251","MDNS","232","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR iPad (6)._companion-link._tcp.local PTR MacBook Air di Stefania._companion-link._tcp.local OPT"
"759","77.875443","fe80::18af:509e:62d9:28ab","ff02::fb","MDNS","252","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR iPad (6)._companion-link._tcp.local PTR MacBook Air di Stefania._companion-link._tcp.local OPT"
"760","77.978026","192.168.1.12","224.0.0.251","MDNS","665","Standard query response 0x0000 TXT TXT, cache flush PTR _rdlink._tcp.local PTR iPad di Leonardo (3)._rdlink._tcp.local SRV, cache flush 0 0 49153 iPad-di-Leonardo-2.local TXT, cache flush PTR _companion-link._tcp.local PTR iPad di Leonardo (3)._companion-link._tcp.local SRV, cache flush 0 0 51220 iPad-di-Leonardo-2.local A, cache flush 192.168.1.12 AAAA, cache flush fe80::18af:509e:62d9:28ab NSEC, cache flush iPad di Leonardo (3)._rdlink._tcp.local NSEC, cache flush iPad di Leonardo (3)._companion-link._tcp.local NSEC, cache flush iPad-di-Leonardo-2.local OPT"
"761","77.978152","fe80::18af:509e:62d9:28ab","ff02::fb","MDNS","685","Standard query response 0x0000 TXT TXT, cache flush PTR _rdlink._tcp.local PTR iPad di Leonardo (3)._rdlink._tcp.local SRV, cache flush 0 0 49153 iPad-di-Leonardo-2.local TXT, cache flush PTR _companion-link._tcp.local PTR iPad di Leonardo (3)._companion-link._tcp.local SRV, cache flush 0 0 51220 iPad-di-Leonardo-2.local A, cache flush 192.168.1.12 AAAA, cache flush fe80::18af:509e:62d9:28ab NSEC, cache flush iPad di Leonardo (3)._rdlink._tcp.local NSEC, cache flush iPad di Leonardo (3)._companion-link._tcp.local NSEC, cache flush iPad-di-Leonardo-2.local OPT"
"762","78.048627","192.168.1.15","224.0.0.251","MDNS","264","Standard query response 0x0000 PTR, cache flush iPhone-di-Leonardo.local PTR, cache flush iPhone-di-Leonardo.local NSEC, cache flush 6.4.4.8.3.3.E.E.E.F.9.E.4.4.8.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 15.1.168.192.in-addr.arpa OPT"
"763","78.049153","fe80::844:e9fe:ee33:8446","ff02::fb","MDNS","284","Standard query response 0x0000 PTR, cache flush iPhone-di-Leonardo.local PTR, cache flush iPhone-di-Leonardo.local NSEC, cache flush 6.4.4.8.3.3.E.E.E.F.9.E.4.4.8.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 15.1.168.192.in-addr.arpa OPT"
"764","78.202479","192.168.1.15","224.0.0.251","MDNS","189","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question PTR iPad di Leonardo (3)._companion-link._tcp.local OPT"
"765","78.203020","fe80::844:e9fe:ee33:8446","ff02::fb","MDNS","209","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question PTR iPad di Leonardo (3)._companion-link._tcp.local OPT"
"766","78.552778","192.168.1.15","224.0.0.251","MDNS","215","Standard query 0x0000 ANY iPhone di Leonardo._rdlink._tcp.local, ""QU"" question ANY iPhone-di-Leonardo.local, ""QU"" question SRV 0 0 49153 iPhone-di-Leonardo.local AAAA fe80::844:e9fe:ee33:8446 A 192.168.1.15 OPT"
"767","78.553304","fe80::844:e9fe:ee33:8446","ff02::fb","MDNS","235","Standard query 0x0000 ANY iPhone di Leonardo._rdlink._tcp.local, ""QU"" question ANY iPhone-di-Leonardo.local, ""QU"" question SRV 0 0 49153 iPhone-di-Leonardo.local AAAA fe80::844:e9fe:ee33:8446 A 192.168.1.15 OPT"
"768","78.801778","192.168.1.15","224.0.0.251","MDNS","215","Standard query 0x0000 ANY iPhone di Leonardo._rdlink._tcp.local, ""QM"" question ANY iPhone-di-Leonardo.local, ""QM"" question SRV 0 0 49153 iPhone-di-Leonardo.local AAAA fe80::844:e9fe:ee33:8446 A 192.168.1.15 OPT"
"769","78.802317","fe80::844:e9fe:ee33:8446","ff02::fb","MDNS","235","Standard query 0x0000 ANY iPhone di Leonardo._rdlink._tcp.local, ""QM"" question ANY iPhone-di-Leonardo.local, ""QM"" question SRV 0 0 49153 iPhone-di-Leonardo.local AAAA fe80::844:e9fe:ee33:8446 A 192.168.1.15 OPT"
